Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
8th of February 2020,SKADE,Demolition Crew,16,12,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98468/demolition-crew-vs-skade
8th of February 2020,Unluckers,Pompa,6,16,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98467/pompa-vs-unluckers
8th of February 2020,sAw,AGO,8,16,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98466/saw-vs-ago
8th of February 2020,KOVA,Japaleno,16,14,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98465/kova-vs-japaleno
8th of February 2020,Lyngby Vikings,Secret,16,11,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98464/lyngby-vikings-vs-secret
8th of February 2020,Vitality,Complexity,0,2,BLAST Premier Spring Series 2020,https://www.hltv.org//stats/matches/72128/vitality-vs-complexity
8th of February 2020,Natus Vincere,Astralis,2,1,BLAST Premier Spring Series 2020,https://www.hltv.org//stats/matches/72127/natus-vincere-vs-astralis
8th of February 2020,Gambit Youngsters,SG.pro,2,0,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72126/gambit-youngsters-vs-sgpro
8th of February 2020,SHIFT,1820HT,2,0,Vietnam Pro League Season 3,https://www.hltv.org//stats/matches/72125/shift-vs-1820ht
8th of February 2020,MC,catman,1,2,Asia Minor Oceania Open Qualifier 1 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72124/mc-vs-catman
8th of February 2020,Ground Zero,Paradox,2,1,Asia Minor Oceania Open Qualifier 1 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72123/ground-zero-vs-paradox
8th of February 2020,Akatsuki,1820HT,2,1,Vietnam Pro League Season 3,https://www.hltv.org//stats/matches/72122/akatsuki-vs-1820ht
8th of February 2020,catman,Skyfire,28,26,Asia Minor Oceania Open Qualifier 1 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98440/skyfire-vs-catman
8th of February 2020,Ground Zero,Formidable,16,4,Asia Minor Oceania Open Qualifier 1 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98439/ground-zero-vs-formidable
8th of February 2020,Paradox,Airborne,16,12,Asia Minor Oceania Open Qualifier 1 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98438/paradox-vs-airborne
8th of February 2020,madlikewizards,MC,5,16,Asia Minor Oceania Open Qualifier 1 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98437/mc-vs-madlikewizards
8th of February 2020,DivisionX,SHIFT,2,0,Vietnam Pro League Season 3,https://www.hltv.org//stats/matches/72117/divisionx-vs-shift
7th of February 2020,Astralis,Complexity,0,2,BLAST Premier Spring Series 2020,https://www.hltv.org//stats/matches/72116/astralis-vs-complexity
7th of February 2020,1WIN,EveryBodyDance,2,1,CIS Minor Open Qualifier 2 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72115/1win-vs-everybodydance
7th of February 2020,AGO,Unicorns of Love,19,22,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98428/ago-vs-unicorns-of-love
7th of February 2020,100pinggods,Unique,1,2,CIS Minor Open Qualifier 2 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72113/100pinggods-vs-unique
7th of February 2020,Natus Vincere,Vitality,0,2,BLAST Premier Spring Series 2020,https://www.hltv.org//stats/matches/72112/natus-vincere-vs-vitality
7th of February 2020,Movistar Riders,GamerLegion,13,16,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98421/movistar-riders-vs-gamerlegion
7th of February 2020,NAVI Junior,Copenhagen Flames,0,2,LEGENDS.BET L33T Cup,https://www.hltv.org//stats/matches/72110/navi-junior-vs-copenhagen-flames
7th of February 2020,Spirit,Revolt,2,0,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72109/spirit-vs-revolt
6th of February 2020,Unique,UnlukoExpress,16,14,CIS Minor Open Qualifier 2 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98415/unique-vs-unlukoexpress
